great job,20,positive
great movie,49,positive
great one,,positive
great performance,15,positive
great performances,10,positive
great plot,10,positive
great premise,8,positive
great time,24,positive
greatest action,,positive
greatest film,,positive
have good,10,positive
have great,10,positive
heart pounding,,positive
heart racing,,positive
high energy,,positive
high octane,,positive
high point,,positive
high rating,,positive
high speed,,positive
high spirits,,positive
higher rating,,positive
highest order,,positive
highly entertaining,,positive
highly rated,,positive
highly recommend,15,positive
highly recommended,,positive
hilarious moments,10,positive
his masterpiece,,positive
hollywood blockbusters,,positive
how beautiful,,positive
how good,15,positive
hugely enjoyable,,positive
i admired,10,positive
i adored,,positive
i appreciate,,positive
i enjoy,79,positive
i enjoyed,71,positive
i laughed,54,positive
i like,93,positive
i liked,67,positive
i love,129,positive
i loved,45,positive
i recommend,19,positive
impressed with,,positive
impressive and,,positive
impressive as,,positive
impressive but,,positive
impressive i,,positive
impressive stunt,,positive
impressive with,,positive
incredible action,,positive
incredible and,,positive
incredible as,,positive
incredible production,,positive
incredible ride,,positive
incredibly funny,10,positive
incredibly well,,positive
innovative and,,positive
instant classic,,positive
intense thrilling,,positive
interested me,10,positive
interesting and,20,positive
interesting character,,positive
interesting plot,,positive
is amazing,,positive
is awesome,9,positive
is beautiful,,positive
is beautifully,,positive
is best,24,positive
is brilliant,9,positive
is dropdead,,positive
is entertaining,,positive
is excellent,,positive
is fantastic,,positive
is fun,75,positive
is funny,57,positive
is glorious,,positive
is good,78,positive
is gorgeous,,positive
is grand,,positive
is great,45,positive
is hilarious,25,positive
is incredible,,positive
is incredibly,15,positive
is interesting,9,positive
is overwhelming,,positive
is perfect,,positive
is perfectly,,positive
is refreshing,,positive
is spectacular,,positive
is splendid,,positive
is stunning,,positive
is super,,positive
is superb,,positive
is thrilling,,positive
is wonderfully,,positive
it did,40,positive
it works,10,positive
its amazing,,positive
its fun,30,positive
its funny,24,positive
its incredible,,positive
its powerful,,positive
its refreshing,,positive
jaw drop,,positive
jaw dropping,,positive
joy and,10,positive
kudos to,,positive
laugh out,58,positive
laughed my,9,positive
laughed out,14,positive
like that,15,positive
like the,170,positive
like their,10,positive
like this,118,positive
like to,13,positive
like watching,23,positive
liked it,38,positive
liked the,19,positive
liked this,17,positive
look cool,,positive
look good,10,positive
looking forward,16,positive
looks amazing,,positive
looks beautiful,,positive
looks cool,,positive
looks great,16,positive
love it,29,positive
love the,20,positive
love this,19,positive
loved every,,positive
loved it,56,positive
loved that,,positive
loved the,34,positive
loved this,18,positive
lovely film,,positive
lovely lovely,,positive
lovely movie,,positive
masterpiece  ,,positive
masterpiece and,,positive
masterpiece but,,positive
masterpiece has,,positive
masterpiece in,,positive
masterpiece it,,positive
masterpiece of,,positive
masterpiece that,,positive
maximum overdrive,,positive
me intrigued,,positive
memorable as,,positive
memorable character,,positive
mesmerized by,,positive
mesmerizing and,,positive
mind numbing,,positive
more brilliant,,positive
more impressive,,positive
most entertaining,,positive
most fun,,positive
most influential,,positive
most successfully,,positive
movie entertaining,10,positive
movie rocked,,positive
movie worth,,positive
must watch,,positive
mustsee movie,,positive
my favorite,20,positive
my favourite,15,positive
nailed it,,positive
nailed this,9,positive
near perfect,,positive
nearly complete,,positive
octane adrenaline,,positive
of amazing,,positive
only complaint,,positive
only drawback,,positive
original films,,positive
original movie,,positive
original movies,,positive
original score,,positive
original series,,positive
outstanding performance,,positive
ovation for,,positive
pace and,,positive
paced action,,positive
packed and,,positive
packed movie,,positive
perfect action,,positive
perfect and,,positive
perfect balance,,positive
perfect film,,positive
perfect in,,positive
perfect it,,positive
perfect the,,positive
perfectly cast,,positive
practical action,,positive
practical effects,,positive
practical stunt,,positive
pretty accurate,,positive
pretty awesome,,positive
pretty clever,10,positive
pretty darn,,positive
pretty decent,24,positive
pretty funny,28,positive
pretty good,83,positive
pretty interesting,9,positive
pretty solid,10,positive
pretty well,10,positive
really compelling,,positive
really do,25,positive
really enjoy,45,positive
really enjoyed,37,positive
really fun,50,positive
really funny,41,positive
really glad,6,positive
really good,52,positive
really great,,positive
really well,10,positive
really worth,10,positive
relentless twohour,,positive
ridiculously good,,positive
riveting and,,positive
riveting it,,positive
satisfied with,,positive
satisfying as,10,positive
seriously awesome,,positive
shot very,10,positive
should see,9,positive
so alive,,positive
so amazing,10,positive
so audacious,,positive
so beautiful,,positive
so cool,,positive
so fresh,,positive
so glad,9,positive
so good,10,positive
so great,,positive
so intense,,positive
so pretty,20,positive
so real,10,positive
so unique,,positive
so wonderful,,positive
solid performance,25,positive
spectacular one,,positive
spot on,25,positive
stand out,,positive
standing ovation,,positive
stands out,,positive
stellar performance,,positive
still go,10,positive
stop adrenaline,,positive
strong performances,,positive
stunning action,,positive
stunning and,,positive
stunning but,,positive
stunning cinematography,,positive
stunning scenes,,positive
sucked in,,positive
summer blockbuster,,positive
summer blockbusters,,positive
super awesome,,positive
super fun,,positive
super high,,positive
thankfully it,10,positive
thanks to,25,positive
the accolades,,positive
the amazing,10,positive
the awesome,,positive
the beautiful,9,positive
the better,25,positive
the blockbuster,,positive
the bold,,positive
the epitome,,positive
the fantastic,,positive
the funniest,39,positive
the funny,15,positive
the good,49,positive
the goods,9,positive
the great,34,positive
the greats,10,positive
the lovely,15,positive
the masterpiece,,positive
the overwhelming,,positive
the perfect,20,positive
the positive,,positive
the pure,10,positive
the quintessential,,positive
the stunning,,positive
the thrill,,positive
the unforgettable,,positive
this fun,10,positive
this incredible,,positive
this masterpiece,,positive
thoroughly entertaining,,positive
thrilling action,,positive
thrilling adventure,,positive
thrilling and,,positive
thrilling chase,,positive
thrilling cinematic,,positive
thrilling to,,positive
thrills and,,positive
too funny,9,positive
too great,10,positive
totally worth,,positive
towering cinematic,,positive
treat  ,,positive
truly satisfying,8,positive
very enjoyable,15,positive
very entertaining,9,positive
very excited,,positive
very funny,87,positive
very good,52,positive
very intense,,positive
very interesting,15,positive
very original,10,positive
very unique,,positive
very well,35,positive
visual storytelling,,positive
visually amazing,,positive
visually dazzling,,positive
visually impressive,,positive
visually spectacular,,positive
visually stunning,,positive
was amazing,10,positive
was awesome,10,positive
was entertained,10,positive
was fantastic,15,positive
was fun,35,positive
was funny,20,positive
was good,25,positive
was great,34,positive
was hilarious,28,positive
was interesting,9,positive
was perfect,,positive
was unique,,positive
was wonderful,,positive
was worth,14,positive
way better,10,positive
wayy better,9,positive
we like,15,positive
well acted,14,positive
well choreographed,,positive
well crafted,,positive
well developed,,positive
well directed,,positive
well done,23,positive
well executed,10,positive
well made,,positive
well paced,,positive
well shot,,positive
well worth,,positive
were amazing,,positive
were cute,14,positive
were done,,positive
were fine,,positive
were fun,,positive
were good,10,positive
were great,10,positive
were hilarious,9,positive
were interesting,,positive
were pretty,,positive
what perfection,10,positive
which works,10,positive
with amazing,,positive
with awesome,,positive
with beautiful,,positive
with excellent,,positive
with intense,,positive
with outstanding,,positive
wonderful and,,positive
wonderful to,,positive
work well,10,positive
worked well,10,positive
you enjoyed,15,positive
you like,41,positive
you liked,9,positive
you love,19,positive
