,bad_bigram,V2,sentiment,genre,
96,a favor,10,,,
97,a feel,10,,,
98,a female,10,,,
99,a few,360,,,
100,a fifth,15,,,
101,a film,240,,,
102,a first,15,,,
103,a food,30,,,
104,a foodie,15,,,
105,a forest,83,,,
106,a forgettable,10,negative,,
107,a form,15,,,
108,a formulaic,8,negative,,
109,a free,10,,,
110,a fresh,24,positive,,
111,a friend,10,,,
112,a fun,60,positive,,
113,a funny,28,positive,,
114,a future,10,,,
115,a generic,13,between,,
116,a generous,10,between,,
117,a genre,10,,,
118,a genuinely,15,positive,,
119,a ghost,10,,,
120,a girl,13,,,
121,a go,391,,,
122,a good,351,positive,,
123,a grade,10,,,
124,a grand,15,,,
125,a great,200,,,
126,a guide,10,,,
127,a guy,10,,,
128,a hacker,20,,,
129,a half,44,between,,
130,a hand,30,,,
131,a handful,15,,,
132,a happy,20,positive,,
133,a hard,16,,,
134,a head,15,,,
135,a headache,10,negative,,
136,a heart,25,,,
137,a heavy,10,between,,
138,a high,35,,,
139,a higher,15,,,
140,a highly,10,,,
141,a hilarious,14,positive,,
142,a history,10,,,
143,a hit,25,,,
144,a hobby,10,,,
145,a hollow,15,negative,,
146,a horror,108,,,
147,a hot,10,,,
148,a house,10,,,
149,a huge,34,between,,
150,a job,25,,,
151,a joke,15,between,,
152,a jump,15,,,
153,a kevin,10,,,
154,a kid,10,,,
155,a kind,20,,,
156,a kitchen,20,,,
157,a la,149,,,
158,a lack,35,negative,,
159,a large,29,,,
160,a largely,9,,,
161,a laugh,30,,,
162,a lazy,10,between,,
163,a lead,25,,,
164,a let,8,,,
165,a li,275,,,
166,a life,25,,,
167,a line,10,,,
168,a list,16,,,
169,a little,196,,,
170,a local,10,,,
171,a location,10,,,
172,a long,32,between,,
173,a look,15,,,
174,a lot,283,,,
175,a love,15,,,
176,a low,15,,,
177,a major,20,between,,
178,a man,55,,,
179,a massive,10,between,,
180,a matinee,20,,,
181,a mess,50,,,
182,a message,14,,,
183,a metaphor,10,,,
184,a mild,19,between,,
185,a mildly,9,between,,
186,a mind,20,,,
187,a mindless,9,negative,,
188,a minute,20,,,
189,a mix,9,,,
190,a moment,14,,,
191,a mommy,10,,,
192,a montage,10,,,
193,a more,9,,,
194,a motorcycle,15,,,
195,a movie,245,,,
196,a mr,10,,,
197,a much,19,,,
198,a must,14,,,
199,a mysterious,19,,,
200,a nanny,14,,,
201,a nasty,10,negative,,
202,a neat,15,positive,,
203,a new,54,between,,
204,a nice,43,positive,,
205,a no,35,,,
206,a one,25,,,
207,a passable,15,negative,,
208,a pay,15,,,
209,a paycheck,10,,,
210,a perfect,54,positive,,
211,a perfection,10,,,
212,a perfectly,10,positive,,
213,a pg,25,,,
214,a picture,15,,,
215,a piece,10,,,
216,a place,24,,,
217,a plot,25,,,
218,a polar,29,,,
219,a police,15,,,
220,a poor,15,,,
221,a popular,10,between,,
222,a power,15,positive,,
223,a powerful,10,positive,,
224,a predictable,28,negative,,
225,a premise,10,,,
226,a pretty,48,,,
227,a professor,10,,,
228,a promising,22,positive,,
229,a psycho,20,,,
230,a psychological,15,,,
231,a purpose,10,,,
232,a question,10,,,
233,a radio,20,,,
234,a rated,10,,,
235,a rather,19,,,
236,a raunchy,10,,,
237,a real,124,,,
238,a really,45,,,
239,a reason,15,,,
240,a recommendation,10,,,
241,a red,20,,,
242,a redemption,15,,,
243,a regular,10,,,
244,a relatively,10,between,,
245,a reliable,10,,,
246,a rent,25,,,
247,a restaurant,40,,,
248,a result,15,,,
249,a review,15,,,
250,a reviewer,9,,,
251,a road,15,,,
252,a rock,10,,,
253,a running,9,,,
254,a sad,14,,,
255,a scene,25,,,
256,a screen,20,,,
257,a screenplay,10,,,
258,a script,24,,,
259,a sea,35,,,
260,a second,20,,,
261,a sense,20,,,
262,a sequel,15,,,
263,a series,14,,,
264,a serious,15,positive,,
265,a service,10,,,
266,a set,15,,,
267,a sexy,9,,,
268,a shame,14,negative,,
269,a shocking,9,negative,,
270,a short,10,,,
271,a shot,10,,,
272,a side,10,,,
273,a similar,10,negative,,
274,a simple,10,positive,,
275,a single,10,,,
276,a slight,20,,,
277,a small,10,,,
278,a sneak,9,between,,
279,a soft,9,,,
280,a soggy,9,negative,,
281,a solid,34,,,
282,a somewhat,10,between,,
283,a spooky,15,negative,,
284,a star,34,,,
285,a step,15,,,
286,a story,25,,,
287,a strong,33,positive,,
288,a stupid,23,negative,,
289,a sucker,10,negative,,
290,a sudden,10,,,
291,a sunday,10,,,
292,a super,20,,,
293,a supernatural,10,,,
294,a surprise,19,positive,,
295,a tad,20,between,,
296,a tale,10,,,
297,a terrible,26,negative,,
298,a terrific,10,positive,,
299,a theater,15,,,
300,a theatrical,15,,,
301,a third,10,,,
302,a thoroughly,14,between,,
303,a threat,10,negative,,
304,a thriller,9,positive,,
305,a time,20,,,
306,a tired,15,negative,,
307,a ton,10,,,
308,a top,15,,,
309,a tot,15,,,
310,a total,9,,,
311,a treat,13,positive,,
312,a tremendous,10,positive,,
313,a trip,10,,,
314,a troubled,10,,,
315,a truly,9,between,,
316,a turn,10,,,
317,a tv,15,,,
318,a twin,25,,,
319,a twist,20,,,
320,a two,15,,,
321,a typical,15,between,,
322,a un,15,,,
323,a vehicle,15,,,
324,a very,104,between,,
325,a video,10,,,
326,a view,14,,,
327,a viewing,10,,,
328,a wacky,10,negative,,
329,a waste,62,negative,,
330,a wasted,15,negative,,
331,a watch,10,between,,
332,a weak,10,negative,,
333,a week,29,,,
334,a well,10,between,,
335,a while,34,,,
336,a whole,35,,,
337,a wild,15,,,
338,a will,28,,,
339,a woman,24,,,
340,a wonder,10,,,
341,a work,10,,,
342,a world,15,,,
343,a wrong,10,negative,,
344,a year,15,,,
345,a young,55,,,
346,a zac,14,,,
347,ability to,44,,,
348,able to,69,,,
349,about  i,10,,,
350,about  year,6,,,
351,about a,146,,,
352,about an,30,,,
353,about any,20,,,
354,about as,30,,,
355,about being,20,,,
356,about chefs,9,,,
357,about cooking,14,,,
358,about dirty,10,,,
359,about food,20,,,
360,about half,15,,,
361,about halfway,10,,,
362,about her,20,,,
363,about him,15,,,
364,about how,25,,,
365,about it,74,,,
366,about life,14,,,
367,about once,8,,,
368,about revealing,9,,,
369,about some,20,,,
370,about that,15,,,
371,about the,176,,,
372,about this,85,,,
373,about to,18,,,
374,about what,19,,,
375,above average,9,between,,
376,absolutely flawless,16,positive,,
377,absolutely hilarious,8,positive,,
378,absolutely love,15,positive,,
379,absolutely terrible,9,negative,,
380,acceptable for,10,,,
381,accompanied by,10,,,
382,according to,10,,,
383,achieve a,10,,,
384,across as,14,,,
385,across the,10,,,
386,act and,15,,,
387,act is,15,,,
388,act of,15,,,
389,act the,10,,,
390,acted and,15,,,
391,acted but,10,,,
392,acting  ,23,,,
393,acting and,14,,,
394,acting i,40,,,
395,acting is,20,valid,,actors
396,acting it,10,,,
397,acting that,10,,,
398,acting the,10,,,
399,acting was,20,,,
400,action is,10,,,
401,action sequences,14,,,
402,actor and,10,,,
403,actor in,10,,,
404,actor that,10,,,
405,actor who,10,valid,,actors
406,actors are,9,,,
407,actors could,10,,,
408,actors i,19,,,
409,actors like,10,,,
410,actors on,10,,,
411,actors perform,10,valid,,actors
412,actors were,10,,,
413,actors who,15,,,
414,actually a,30,,,
415,actually be,30,,,
416,actually been,10,,,
417,actually funny,14,positive,,
418,actually get,10,,,
419,actually pretty,10,positive,,
420,actually want,10,,,
421,ad for,20,,,
422,adam is,10,,,
423,adam jones,57,,,
424,adam sandler,14,,,
425,add a,10,,,
426,add the,10,,,
427,add to,10,,,
428,addition of,14,,,
429,addition to,10,,,
430,adds up,10,,,
431,admired the,10,,,
432,adult humor,10,,,
433,adults that,10,,,
434,affection of,20,,,
435,after  minute,9,,,
436,after a,35,,,
437,after all,10,,,
438,after being,15,,,
439,after dick,10,,,
440,after giving,10,,,
441,after he,10,,,
442,after i,30,,,
443,after it,9,,,
444,after s,55,,,
445,after seeing,35,,,
446,after she,10,,,
447,after the,84,,,
448,after viewing,10,,,
449,again  ,30,,,
450,again i,45,,,
451,again in,15,,,
452,again its,10,,,
453,again the,10,,,
454,against each,10,,,
455,against him,15,,,
456,against the,15,,,
457,agree with,10,,,
458,aiden and,10,,,
459,aiden taylor,25,,,
460,aiming to,10,between,,
461,aims to,10,,,
462,aj ken,15,,,
463,aka the,10,,,
464,alicia vikander,30,,,
465,all  ,60,,,
466,all about,18,,,
467,all and,20,,,
468,all bad,10,negative,,
469,all better,9,,,
470,all burnt,10,,,
471,all daddys,9,,,
472,all flat,20,between,,
473,all from,10,,,
474,all her,10,,,
475,all i,196,,,
476,all in,94,,,
477,all it,44,,,
478,all its,20,,,
479,all just,10,,,
480,all know,8,,,
481,all of,125,,,
482,all off,10,,,
483,all out,10,between,,
484,all over,29,,,
485,all so,10,,,
486,all that,109,,,
487,all the,309,,,
488,all these,19,,,
489,all this,45,,,
490,all time,18,,,
491,all to,35,,,
492,all too,10,,,
493,all we,25,,,
494,all you,15,,,
495,allowed to,10,,,
496,allwiat for,8,,,
497,almost a,35,between,,
498,almost all,10,,,
499,almost as,15,,,
500,almost better,9,between,,
501,almost entirely,10,between,,
502,almost no,20,between,,
503,along   ,15,,,
504,along  doe,15,,,
505,along  get,10,,,
506,along  i,101,,,
507,along  i,101,,,
508,along  lack,9,,,
509,along  ma,13,,,
510,along  p,15,,,
511,along  w,30,,,
512,along  whic,9,,,
513,along  ye,10,,,
514,along a,20,,,
515,along and,10,,,
516,along but,15,between,,
517,along for,10,,,
518,along i,15,,,
519,along it,10,,,
520,along on,20,,,
521,along or,10,,,
522,along the,28,,,
523,along with,38,,,
524,already do,9,,,
525,already know,10,,,
526,also a,69,,,
527,also available,20,,,
528,also did,10,,,
529,also dormer,10,,,
530,also enjoyed,10,between,,
531,also it,10,,,
532,also makes,10,,,
533,also played,14,,,
534,also pretty,15,positive,,
535,also the,25,,,
536,although i,29,,,
537,although it,15,,,
538,although its,10,between,,
539,although the,39,,,
540,although there,15,between,,
541,always a,20,,,
542,always be,15,,,
543,always been,10,,,
544,always do,10,,,
545,always nice,10,positive,,
546,am a,60,,,
547,am i,45,,,
548,am not,15,,,
549,am so,9,,,
550,amazing i,10,positive,,
551,amazing movie,8,positive,,
552,american sniper,40,,,
553,amongst the,10,,,
554,amount of,75,,,
555,amount to,10,,,
556,amounts to,9,,,
557,amusing a,20,positive,,
558,an above,9,,,
559,an absolute,9,between,,
560,an actor,15,,,
561,an actual,35,,,
562,an all,24,,,
563,an almost,19,,,
564,an alum,10,,,
565,an amazing,10,positive,,
566,an american,10,,,
567,an animated,10,,,
568,an apology,10,,,
569,an appeal,10,,,
570,an art,10,,,
571,an attempt,10,,,
572,an audience,15,,,
573,an australian,10,,,
574,an early,24,,,
575,an easy,15,,,
576,an effect,10,,,
577,an effort,15,,,
578,an elderly,10,,,
579,an empty,10,between,,
580,an enjoyable,24,positive,,
581,an entertaining,9,positive,,
582,an entire,15,,,
583,an example,14,,,
584,an excellent,25,positive,,
585,an extended,10,,,
586,an f,82,,,
587,an hour,29,,,
588,an idiot,10,negative,,
589,an incredibly,20,positive,,
590,an interesting,49,between,,
591,an intimidating,10,negative,,
592,an intriguing,15,between,,
593,an occasional,10,,,
594,an odd,10,between,,
595,an okay,7,,,
596,an old,55,,,
597,an open,15,,,
598,an original,9,positive,,
599,an oscar,15,,,
600,an overly,15,,,
601,an r,59,,,
602,an th,301,,,
603,an uninspired,8,negative,,
604,an unnecessary,9,negative,,
605,an unoriginal,9,negative,,
606,an upscale,10,,,
607,an urban,8,,,
608,and  minute,10,,,
609,and a,860,,,
610,and actually,10,,,
611,and add,10,,,
612,and adults,10,,,
613,and after,10,,,
614,and again,10,,,
615,and aiden,15,,,
616,and all,38,,,
617,and almost,9,,,
618,and also,15,,,
619,and although,15,,,
620,and always,15,,,
621,and an,130,,,
622,and and,30,,,
623,and another,10,,,
624,and any,15,,,
625,and appealing,10,,,
626,and are,15,,,
627,and as,38,,,
628,and at,50,,,
629,and atmosphere,10,,,
630,and bad,10,,,
631,and be,140,,,
632,and beautiful,13,between,,
633,and become,15,,,
634,and becomes,10,,,
635,and believable,10,between,,
636,and ben,40,,,
637,and better,10,between,,
638,and boring,10,,,
639,and both,9,,,
640,and bradley,15,,,
641,and bro,10,,,
642,and bruhl,10,,,
643,and burnt,9,,,
644,and by,10,,,
645,and character,35,,,
646,and characters,15,,,
647,and chef,15,,,
648,and clever,9,between,,
649,and cliche,30,,,
650,and cliched,10,negative,,
651,and cliches,15,negative,,
652,and company,10,,,
653,and completely,10,,,
654,and contains,10,,,
655,and cooper,15,,,
656,and creepy,9,negative,,
657,and cube,18,,,
658,and dad,25,,,
659,and daddys,10,,,
660,and de,120,,,
661,and definitely,10,,,
662,and delivers,10,between,,
663,and desperately,15,negative,,
664,and despite,25,between,,
665,and diana,7,,,
666,and did,30,between,,
667,and didnt,15,negative,,
668,and director,20,,,
669,and do,95,,,
670,and does,50,,,
671,and doesnt,39,,,
672,and dont,24,,,
673,and dustin,10,,,
674,and dusty,10,,,
675,and each,10,,,
676,and edit,10,,,
677,and efron,25,,,
678,and ego,10,,,
679,and emotion,10,,,
680,and ended,15,,,
681,and enjoy,25,between,,
682,and entertaining,45,positive,,
683,and even,108,,,
684,and eventual,25,,,
685,and eventually,15,,,
686,and every,25,,,
687,and everyone,15,,,
688,and excruciatingly,10,negative,,
689,and execution,10,,,
690,and explosions,10,,,
691,and fairly,20,between,,
692,and fall,15,,,
693,and far,15,,,
694,and father,15,,,
695,and feel,35,,,
696,and feels,20,,,
697,and ferrell,35,,,
698,and finally,10,,,
699,and find,25,,,
700,and fine,9,,,
701,and for,81,,,
702,and forced,10,,,
703,and found,9,,,
704,and full,10,,,
705,and fun,34,,,
706,and funny,9,between,,
707,and furious,10,,,
708,and get,35,,,
709,and gets,9,,,
710,and give,10,,,
711,and go,60,,,
712,and good,20,positive,,
713,and got,15,,,
714,and grandson,10,,,
715,and hart,25,,,
716,and has,15,,,
717,and have,25,,,
718,and he,160,,,
719,and her,35,,,
720,and hes,10,,,
721,and his,84,,,
722,and horrified,9,between,,
723,and how,43,,,
724,and i,919,,,
725,and ice,32,,,
726,and if,9,,,
727,and im,35,,,
728,and in,159,,,
729,and incomplete,10,negative,,
730,and inconsistent,10,negative,,
731,and instead,10,,,
732,and interesting,9,positive,,
733,and into,10,,,
734,and is,75,,,
735,and it,293,,,
736,and its,88,,,
737,and james,25,,,
738,and jeong,10,,,
739,and jokes,10,,,
740,and just,20,,,
741,and kevin,59,,,
742,and kids,10,,,
743,and kinney,10,,,
744,and kitchen,15,,,
745,and know,30,,,
746,and knowing,20,,,
747,and last,10,,,
748,and lazily,10,,,
749,and lazy,20,,,
750,and leave,15,,,
751,and leaves,10,,,
752,and left,15,,,
753,and less,14,between,,
754,and like,15,between,,
755,and linda,15,,,
756,and love,15,,,
757,and loved,9,positive,,
758,and low,10,,,
759,and made,24,,,
760,and make,45,,,
761,and makes,20,,,
762,and malcolm,10,,,
763,and many,20,,,
764,and mark,160,,,
765,and matt,15,,,
766,and mean,10,,,
767,and megan,20,,,
768,and michi,10,,,
769,and miller,10,,,
770,and miss,25,,,
771,and money,31,,,
772,and more,24,,,
773,and most,20,,,
774,and movies,15,,,
775,and mrs,10,,,
776,and much,20,,,
777,and my,54,,,
778,and mystery,15,,,
779,and natalie,10,,,
780,and natural,10,,,
781,and need,10,,,
782,and never,20,between,,
783,and no,120,between,,
784,and not,99,between,,
785,and nothing,20,between,,
786,and obvious,15,between,,
787,and off,10,,,
788,and olivia,10,,,
789,and on,72,,,
790,and one,34,,,
791,and only,15,,,
792,and or,10,,,
793,and other,25,,,
794,and our,9,,,
795,and out,15,,,
796,and over,55,,,
797,and overall,15,,,
798,and overused,10,negative,,
799,and part,15,,,
800,and pass,10,,,
801,and people,15,,,
802,and pieces,14,,,
803,and plaza,10,,,
804,and plot,15,,,
805,and police,10,,,
806,and potential,10,,,
807,and practice,10,,,
808,and predictable,29,negative,,
809,and pressure,10,,,
810,and pretty,10,between,,
811,and quick,10,,,
812,and raunchy,14,negative,,
813,and return,10,,,
814,and ride,10,,,
815,and ridiculous,10,negative,,
816,and rupert,10,,,
817,and sara,29,,,
818,and satisfying,10,positive,,
819,and save,10,,,
820,and see,55,,,
821,and seem,20,,,
822,and seemingly,10,,,
823,and sex,30,,,
824,and sexual,20,,,
825,and she,15,,,
826,and shout,10,,,
827,and show,10,,,
828,and sienna,33,,,
829,and silly,15,,,
830,and since,20,,,
831,and sister,10,,,
832,and slow,10,,,
833,and smell,10,,,
834,and so,129,,,
835,and some,75,,,
836,and somehow,10,,,
837,and sometimes,10,,,
838,and sound,15,,,
839,and start,15,,,
840,and stayed,10,,,
841,and steve,10,,,
842,and still,10,,,
843,and story,20,,,
844,and stretched,10,,,
845,and stupid,20,negative,,
846,and suspense,20,,,
847,and sweet,10,positive,,
848,and take,10,,,
849,and talking,10,,,
850,and team,10,,,
851,and that,145,,,
852,and thats,35,,,
853,and the,1035,,,
854,and their,20,,,
855,and then,84,,,
856,and there,116,,,
857,and therefore,10,,,
858,and theres,15,,,
859,and they,80,,,
860,and theyre,15,,,
861,and think,10,,,
862,and this,45,,,
863,and thomas,10,,,
864,and those,14,,,
865,and though,19,,,
866,and thought,14,,,
867,and through,10,,,
868,and time,15,,,
869,and times,10,,,
870,and tired,10,between,,
871,and to,70,,,
872,and try,10,,,
873,and turns,20,,,
874,and twists,10,,,
875,and two,10,,,
876,and ultimately,14,,,
877,and uncomfortable,9,negative,,
878,and unfun,15,negative,,
879,and unfunny,9,negative,,
880,and unique,9,between,,
881,and unoriginal,10,negative,,
882,and unsettling,10,negative,,
883,and very,15,,,
884,and videos,10,,,
885,and visual,10,,,
886,and vulgar,10,negative,,
887,and wahlberg,82,,,
888,and wahlbergs,15,,,
889,and want,20,,,
890,and wanted,10,,,
891,and war,10,,,
892,and was,44,,,
893,and waste,10,,,
894,and wat,10,,,
895,and we,102,,,
896,and well,24,,,
897,and were,19,,,
898,and what,15,,,
899,and when,15,,,
900,and while,15,,,
901,and white,10,,,
902,and who,36,,,
903,and whos,7,,,
904,and why,24,,,
905,and will,63,,,
906,and with,20,,,
907,and without,10,between,,
908,and work,10,,,
909,and worth,15,,,
910,and would,15,,,
911,and writing,10,,,
912,and written,9,,,
913,and yes,25,,,
914,and yet,15,,,
915,and you,113,,,
916,and your,29,,,
917,and youve,10,,,
918,and zac,33,,,
919,anders en,10,,,
920,anders horrible,10,negative,,
921,andor for,10,,,
922,andre the,10,,,
923,angela tika,10,,,
924,animated film,55,,,
925,animated films,25,,,
926,animated movie,14,,,
927,animation i,20,,,
928,animation is,15,,,
929,annoying and,10,negative,,
930,another example,9,,,
931,another i,25,,,
932,another in,15,,,
933,another movie,10,,,
934,another scene,10,,,
935,another spin,7,,,
936,answer a,10,,,
937,anthony bourdain,10,,,
938,antics of,10,,,
939,antonio pope,15,,,
940,any ac,10,,,
941,any comedy,9,,,
942,any film,10,,,
943,any kind,15,,,
944,any level,20,,,
945,any more,15,,,
946,any movie,15,,,
947,any of,97,,,
948,any potential,10,,,
949,any real,15,,,
950,any sense,20,negative,,
951,any way,20,,,
952,any ways,10,,,
953,anyone else,10,,,
954,anyone who,10,,,
955,anything but,15,negative,,
956,anything else,10,,,
957,anything i,25,,,
958,anything it,10,,,
959,anything more,14,,,
960,anything that,15,,,
961,anything the,15,,,
962,anything to,15,,,
963,anything with,10,,,
964,anything you,10,,,
965,anyway i,10,,,
966,anywhere near,15,negative,,
967,aokigahara and,10,,,
968,aokigahara but,10,,,
969,aokigahara forest,54,,,
970,aokigahara instead,10,,,
971,aokigahara the,10,,,
972,apparently so,10,,,
973,appeal to,15,,,
974,appealing to,10,,,
975,appearance of,15,,,
976,appears to,10,,,
977,appreciate the,10,positive,,
978,approach to,20,,,
979,appropriate for,10,between,,
980,arctic and,15,,,
981,arctic he,10,,,
982,are a,218,,,
983,are actually,10,,,
984,are all,34,,,
985,are also,10,,,
986,are and,10,,,
987,are at,20,,,
988,are both,10,,,
989,are coming,10,,,
990,are connected,10,,,
991,are creepy,9,negative,,
992,are evil,15,negative,,
993,are far,10,,,
994,are few,10,between,,
995,are fine,15,between,,
996,are good,10,positive,,
997,are her,15,,,
998,are here,10,,,
999,are i,135,,,
1000,are idiots,10,negative,,
1001,are in,65,,,
1002,are just,29,,,
1003,are kind,15,,,
1004,are lame,9,negative,,
1005,are left,15,,,
1006,are looking,18,,,
1007,are many,9,,,
1008,are more,20,,,
1009,are no,35,negative,,
1010,are not,25,negative,,
1011,are often,20,,,
1012,are on,40,,,
1013,are one,14,,,
1014,are onedimensional,10,negative,,
1015,are plenty,10,,,
1016,are quite,10,,,
1017,are simply,10,,,
1018,are so,98,,,
1019,are some,75,,,
1020,are spot,10,,,
1021,are stale,10,negative,,
1022,are still,9,,,
1023,are stupid,15,negative,,
1024,are the,75,,,
1025,are there,25,,,
1026,are to,20,,,
1027,are too,13,,,
1028,are usually,15,,,
1029,are we,9,,,
1030,are what,19,,,
1031,are you,52,,,
1032,are your,10,,,
1033,arent real,15,negative,,
1034,arent really,10,negative,,
1035,arent the,20,negative,,
1036,arent there,10,negative,,
1037,army buddy,10,,,
1038,around a,30,,,
1039,around and,10,,,
1040,around for,10,,,
1041,around him,15,,,
1042,around so,10,,,
1043,around the,40,,,
1044,arrogant en,10,,,
1045,art house,15,,,
1046,as a,1181,,,
1047,as always,43,,,
1048,as an,127,,,
1049,as any,20,,,
1050,as average,9,negative,,
1051,as awful,24,negative,,
1052,as bad,50,negative,,
1053,as bored,30,negative,,
1054,as brad,20,,,
1055,as bradley,10,,,
1056,as clearly,10,between,,
1057,as creepy,10,negative,,
1058,as does,13,,,
1059,as ever,20,,,
1060,as far,25,,,
1061,as follows,10,,,
1062,as for,59,,,
1063,as formulaic,10,negative,,
1064,as fun,75,positive,,
1065,as funny,54,positive,,
1066,as good,74,positive,,
1067,as great,39,positive,,
1068,as greta,10,positive,,
1069,as happy,9,positive,,
1070,as he,79,,,
1071,as hell,10,negative,,
1072,as horror,9,negative,,
1073,as i,420,,,
1074,as if,50,,,
1075,as in,105,,,
1076,as it,194,,,
1077,as its,65,,,
1078,as jones,10,,,
1079,as just,73,,,
1080,as lame,14,negative,,
1081,as long,14,,,
1082,as low,10,negative,,
1083,as many,10,,,
1084,as most,15,,,
1085,as much,52,,,
1086,as not,103,,,
1087,as of,15,,,
1088,as one,63,,,
1089,as part,25,,,
1090,as per,20,,,
1091,as possible,25,,,
1092,as satisfying,10,positive,,
1093,as scary,15,,,
1094,as she,25,,,
1095,as some,77,,,
1096,as soon,10,,,
1097,as terrible,34,negative,,
1098,as that,30,,,
1099,as the,498,,,
1100,as they,35,,,
1101,as this,34,,,
1102,as to,109,,,
1103,as too,20,,,
1104,as usual,10,between,,
1105,as vulgar,10,negative,,
1106,as was,15,,,
1107,as we,170,,,
1108,as well,150,,,
1109,as what,10,,,
1110,as with,30,,,
1111,as wrong,10,negative,,
1112,as you,40,,,
1113,ashamed of,15,negative,,
1114,ashamed robert,6,,,
1115,aside from,29,,,
1116,aside the,15,,,
1117,ask for,19,,,
1118,asked to,10,,,
1119,aspects of,14,,,
1120,ass and,10,,,
1121,astonished and,8,between,,
1122,at  minute,15,,,
1123,at a,728,,,
1124,at all,156,,,
1125,at allwiat,7,,,
1126,at an,134,,,
1127,at and,64,,,
1128,at another,10,,,
1129,at being,25,,,
1130,at best,34,,,
1131,at but,64,,,
1132,at comedy,14,,,
1133,at different,10,,,
1134,at every,39,,,
1135,at first,44,,,
1136,at good,10,between,,
1137,at greta,15,between,,
1138,at he,165,,,
1139,at him,10,,,
1140,at his,26,,,
1141,at home,15,,,
1142,at how,9,,,
1143,at humor,15,,,
1144,at it,381,,,
1145,at its,85,,,
1146,at jones,25,,,
1147,at just,25,,,
1148,at least,150,between,,
1149,at my,9,,,
1150,at night,10,,,
1151,at not,34,,,
1152,at nothing,10,,,
1153,at one,30,,,
1154,at other,25,,,
1155,at random,10,between,,
1156,at rare,9,,,
1157,at some,49,,,
1158,at spring,10,,,
1159,at that,30,,,
1160,at the,776,,,
1161,at their,15,,,
1162,at this,144,,,
1163,at time,108,,,
1164,at times,73,between,,
1165,at were,30,,,
1166,at what,15,,,
1167,at you,148,,,
1168,at your,15,,,
1169,ate his,10,,,
1170,atlanta to,10,,,
1171,atmosphere of,20,between,,
1172,atmosphere that,15,,,
1173,attached to,15,between,,
1174,attempt at,35,between,,
1175,attempt to,24,,,
1176,attempts at,20,,,
1177,attempts to,15,,,
1178,attention to,25,between,,
1179,attractive actors,10,between,,
1180,aubrey plaza,39,,,
1181,audience a,20,,,
1182,audience i,25,,,
1183,audience is,10,,,
1184,audience laughed,10,positive,,
1185,audience to,10,,,
1186,audience who,10,,,
1187,audience with,15,,,
1188,audiences into,10,,,
1189,available  ,24,,,
1190,avoid like,15,,,
1191,award for,10,,,
1192,awards season,9,,,
1193,away a,15,,,
1194,away at,10,,,
1195,away by,10,,,
1196,away for,6,,,
1197,away from,39,,,
1198,awesome and,8,positive,,
1199,awesome but,10,between,,
1200,awful i,10,,,
1201,awful no,10,,,
1202,awkward and,19,negative,,
1203,b  ,53,,,
1204,b  ,53,,,
1205,b  ho,9,,,
1206,b  th,15,,,
1207,b movie,10,,,
1208,b op,7,,,
1209,baby he,10,,,
1210,back a,45,,,
1211,back and,24,,,
1212,back because,10,,,
1213,back by,10,,,
1214,back for,20,,,
