,bad_trigram,V2,,sentiment,genre,actors
884,good but i,12,valid,between,,
885,and a bit,12,,,,
886,him out of,12,,,,
887,a little over,12,,,,
888,make up for,12,,,,
889,be and i,12,,,,
890,to want to,12,,,,
891,but you can,12,,,,
892,some good laughs,12,,,,
893,a comedy that,12,,,,
894,because of its,12,,,,
895,phil hay and,12,,,,
896,loved it i,12,,,,
897,was an enjoyable,12,valid,positive,,
898,they get a,12,,,,
899,it  dirty grandp,12,,,,
900,funny parts in,12,,,,
901,ride along  p,12,,,,
902,woman who is,12,,,,
903,there are more,12,,,,
904,or a cheap,12,,,,
905,to the other,12,,,,
906,gave it a,12,,,,
907,a film with,12,,,,
908,that i will,12,,,,
909,her and her,12,,,,
910,the worst animated,12,valid,negative,,
911,for what i,12,,,,
912,similar to the,12,,,,
913,after the movie,12,,,,
914,but it did,12,,,,
915,to know the,12,,,,
916,one that i,12,,,,
917,twin sister i,12,,,,
918,forest in japan,12,,,,
919,did a great,12,,,,
920,see in the,12,,,,
921,to help her,12,,,,
922,much on the,12,,,,
923,i wish the,12,,,,
924,combination of the,12,,,,
925,it  the bo,12,,,,
926,you would expect,12,valid,negative,,
927,of bradley coopers,12,,,,
928,is not in,12,,,,
929,me laugh  ,12,,,,
930,it wants to,12,,,,
931,to be in,12,,,,
932,laughs to be,12,,,,
933,he does a,12,,,,
934,and you may,12,,,,
935,think that the,12,,,,
936,been done to,12,,,,
937,it back in,12,,,,
938,of robert de,12,,,,
939,oh and the,12,,,,
940,a bit too,12,,,,
941,but fails to,12,valid,negative,,
942,movie in the,12,,,,
943,you are in,12,,,,
944,that wants to,12,,,,
945,of the moment,12,,,,
946,few laughs but,12,valid,between,,
947,the first i,12,,,,
948,a wasted opportunity,12,valid,negative,,
949,of her in,12,,,,
950,have been done,12,,,,
951,and a great,12,,,,
952,to care for,12,,,,
953,dont go see,12,,,,
954,or even the,12,,,,
955,good scares and,12,,,,
956,but the execution,12,valid,negative,,
957,seen in years,12,,,,
958,own as a,12,,,,
959,for some reason,12,,,,
960,couple of hours,12,,,,
961,in a few,12,,,,
962,film but it,12,,,,
963,what it really,12,,,,
964,to go off,12,,,,
965,it could be,12,,,,
966,well this movie,12,,,,
967,fact that the,12,,,,
968,to say that,12,,,,
969,benjamin bratt a,12,,,,
970,love will ferrell,12,,,,
971,other guys i,12,,,,
972,of course the,12,,,,
973,do but i,12,,,,
974,out loud a,12,,,,
975,in the face,12,,,,
976,in all the,12,,,,
977,suicide in the,12,,,,
978,money at a,12,,,,
979,hit and miss,12,valid,negative,,
980,in the role,12,,,,
981,after seeing the,12,,,,
982,i found it,12,,,,
983,the movie on,12,,,,
984,the way  ,12,,,,
985,from the first,12,,,,
986,i dont want,12,,,,
987,reminded me of,12,,,,
988,the film and,12,,,,
989,his personal life,12,,,,
990,as a lead,12,,,,
991,a horror film,12,,,,
992,for the entire,12,,,,
993,its going to,12,,,,
994,does have some,12,valid,between,,
995,much more  ,12,,,,
996,thing from this,12,,,,
997,of what is,12,,,,
998,worst movies ive,12,valid,negative,,
999,along with the,12,,,,
1000,ferrell is the,12,,,,
1001,for me and,12,,,,
1002,it is hilarious,12,valid,positive,,
1003,the walking dead,12,,,,
1004,role of adam,12,,,,
1005,to each other,12,,,,
1006,the night in,12,,,,
1007,who wants to,12,,,,
1008,those of us,12,,,,
1009,y mark wahlberg,12,,,,
1010,as the forest,12,,,,
1011,to keep the,12,,,,
1012,and make the,12,,,,
1013,chef and the,12,,,,
1014,the critics have,12,,,,
1015,and most of,12,,,,
1016,horror movie i,12,,,,
1017,there just to,12,,,,
1018,in need of,12,valid,negative,,
1019,on the path,12,,,,
1020,was the first,12,,,,
1021,did a good,12,,,,
1022,reason to see,12,,,,
1023,movie i love,12,,,,
1024,so much potential,12,,,,
1025,need to know,12,,,,
1026,go and see,12,,,,
1027,characters and the,12,,,,
1028,i could not,12,,,,
1029,some of them,12,,,,
1030,scary at all,12,,,,
1031,mark wahlberg has,12,,,,
1032,deep into the,12,,,,
1033,the movie tries,12,,,,
1034,the original film,12,,,,
1035,movie it is,12,,,,
1036,the form of,12,,,,
1037,like it was,12,,,,
1038,it was funny,12,valid,positive,,
1039,enjoy it  ,12,,,,
1040,a film like,12,,,,
1041,the entire time,12,,,,
1042,as if he,12,,,,
1043,what was going,12,,,,
1044,and we get,12,,,,
1045,but i have,12,,,,
1046,have been better,12,,,,
1047,to the role,12,,,,
1048,of the house,12,,,,
1049,but not much,12,,,,
1050,have a good,12,valid,positive,,
1051,in trying to,12,,,,
